Item ID,Item Name,Purchase Count,Item Price,Total Purchase Value
113,"[""Solitude's Reaver""]",4,$4.07,$16.28
116,['Renewed Skeletal Katana'],4,$4.18,$16.72
121,['Massacre'],4,$1.60,$6.40
123,"[""Twilight's Carver""]",4,$2.28,$9.12
124,['Venom Claymore'],4,$1.29,$5.16
174,['Primitive Blade'],4,$3.47,$13.88
169,"['Interrogator, Blood Blade of the Queen']",4,$2.18,$8.72
152,['Darkheart'],4,$1.74,$6.96
153,['Mercenary Sabre'],4,$3.74,$14.96
154,['Feral Katana'],4,$4.40,$17.60
172,['Blade of the Grave'],4,$3.14,$12.56
157,"['Spada, Etcher of Hatred']",4,$4.80,$19.20
165,['Bone Crushing Silver Skewer'],4,$4.86,$19.44
167,"['Malice, Legacy of the Queen']",4,$3.61,$14.44
99,"['Expiration, Warscythe Of Lost Worlds']",4,$1.71,$6.84
0,['Splinter'],4,$1.28,$5.12
52,['Hatred'],4,$4.84,$19.36
17,"['Lazarus, Terror of the Earth']",4,$1.70,$6.80
58,"[""Freak's Bite, Favor of Holy Might""]",4,$4.14,$16.56
57,"['Despair, Favor of Due Diligence']",4,$4.60,$18.40
66,['Victor Iron Spikes'],4,$4.40,$17.60
50,['Dawn'],4,$4.60,$18.40
67,"['Celeste, Incarnation of the Corrupted']",4,$3.46,$13.84
68,"['Storm-Weaver, Slayer of Inception']",4,$4.32,$17.28
70,"[""Hope's End""]",4,$1.03,$4.12
45,['Glinting Glass Edge'],4,$3.85,$15.40
38,"['The Void, Vengeance of Dark Magic']",4,$2.37,$9.48
77,"['Piety, Guardian of Riddles']",4,$4.00,$16.00
76,['Haunted Bronzed Bludgeon'],4,$3.15,$12.60
9,"['Thorn, Conqueror of the Corrupted']",4,$2.73,$10.92
16,['Restored Bauble'],4,$3.55,$14.20
13,['Serenity'],4,$1.41,$5.64
94,['Mourning Blade'],4,$3.49,$13.96
10,['Sleepwalker'],4,$1.79,$7.16
5,['Putrid Fan'],4,$4.08,$16.32
83,['Lifebender'],4,$3.33,$13.32
49,"['The Oculus, Token of Lost Worlds']",3,$2.96,$8.88
182,['Toothpick'],3,$4.03,$12.09
55,['Vindictive Glass Edge'],3,$2.27,$6.81
95,['Singed Onyx Warscythe'],3,$4.74,$14.22
142,['Righteous Might'],3,$2.62,$7.86
8,"['Purgatory, Gem of Regret']",3,$3.93,$11.79
166,['Thirsty Iron Reaver'],3,$3.07,$9.21
175,['Woeful Adamantite Claymore'],3,$4.48,$13.44
147,"['Hellreaver, Heirloom of Inception']",3,$4.93,$14.79
148,"[""Warmonger, Gift of Suffering's End""]",3,$4.03,$12.09
171,['Scalpel'],3,$1.79,$5.37
151,['Severance'],3,$3.40,$10.20
41,['Orbit'],3,$4.75,$14.25
135,['Warped Diamond Crusader'],3,$1.40,$4.20
61,['Ragnarok'],3,$3.87,$11.61
97,"['Swan Song, Gouger Of Terror']",3,$2.50,$7.50
183,"[""Dragon's Greatsword""]",3,$1.09,$3.27
89,"['Blazefury, Protector of Delusions']",3,$4.64,$13.92
79,"['Alpha, Oath of Zeal']",3,$4.05,$12.15
74,['Yearning Crusher'],3,$4.18,$12.54
84,['Arcane Gem'],3,$3.79,$11.37
119,"['Stormbringer, Dark Blade of Ending Misery']",3,$4.32,$12.96
109,"['Downfall, Scalpel Of The Emperor']",3,$4.76,$14.28
62,['Piece Maker'],3,$1.87,$5.61
86,['Stormfury Lantern'],3,$2.27,$6.81
122,['Unending Tyranny'],3,$2.85,$8.55
106,['Crying Steel Sickle'],3,$3.41,$10.23
64,['Fusion Pummel'],3,$4.82,$14.46
130,['Alpha'],3,$2.07,$6.21
1,['Crucifer'],3,$3.26,$9.78
173,['Stormfury Longsword'],2,$4.93,$9.86
176,['Relentless Iron Skewer'],2,$2.84,$5.68
14,['Possessed Core'],2,$2.61,$5.22
168,"['Sun Strike, Jaws of Twisted Visions']",2,$1.48,$2.96
177,"['Winterthorn, Defender of Shifting Worlds']",2,$2.08,$4.16
81,['Dreamkiss'],2,$3.61,$7.22
6,['Rusty Skull'],2,$3.70,$7.40
18,"['Torchlight, Bond of Storms']",2,$4.65,$9.30
26,['Unholy Wand'],2,$1.12,$2.24
28,"['Flux, Destroyer of Due Diligence']",2,$1.06,$2.12
30,['Stormcaller'],2,$2.21,$4.42
158,"['Darkheart, Butcher of the Champion']",2,$2.45,$4.90
69,"['Frenzy, Defender of the Harvest']",2,$1.98,$3.96
132,['Persuasion'],2,$3.33,$6.66
63,['Stormfury Mace'],2,$4.99,$9.98
56,['Foul Titanium Battle Axe'],2,$2.92,$5.84
127,"['Heartseeker, Reaver of Souls']",2,$3.92,$7.84
48,"['Rage, Legacy of the Lone Victor']",2,$2.48,$4.96
125,['Whistling Mithril Warblade'],2,$1.00,$2.00
43,['Foul Edge'],2,$3.54,$7.08
115,['Spectral Diamond Doomblade'],2,$2.04,$4.08
33,['Curved Axe'],2,$1.16,$2.32
31,['Trickster'],2,$1.55,$3.10
118,"['Ghost Reaver, Longsword of Magic']",1,$2.17,$2.17
47,"['Alpha, Reach of Ending Hope']",1,$3.58,$3.58
42,['The Decapitator'],1,$1.75,$1.75
27,"['Riddle, Tribute of Ended Dreams']",1,$3.30,$3.30
126,['Exiled Mithril Longsword'],1,$2.00,$2.00
51,['Endbringer'],1,$4.66,$4.66
90,['Betrayer'],1,$2.94,$2.94
104,"[""Gladiator's Glaive""]",1,$1.93,$1.93
23,['Crucifer'],1,$1.99,$1.99
180,['Stormcaller'],1,$3.36,$3.36
91,['Celeste'],1,$4.17,$4.17
134,['Undead Crusader'],1,$4.50,$4.50
