SN,Purchase Count,Average Purchase Price,Total Purchase Value
Phaelap26,2,$3.32,$6.64
Assassasta79,2,$3.31,$6.63
Sausosia74,2,$3.30,$6.61
Lisast87,2,$3.30,$6.60
Leetirraya83,2,$3.29,$6.58
Chanastst38,2,$3.29,$6.58
Heuli25,2,$3.28,$6.55
Yadacal26,2,$3.27,$6.54
Lassadarsda57,2,$3.25,$6.49
Sondadar26,2,$3.24,$6.47
Saelaephos52,2,$3.18,$6.36
Chamimla85,3,$2.10,$6.30
Lirtistanya48,2,$3.15,$6.30
Chanossanya44,2,$3.14,$6.28
Iasrira89,2,$3.12,$6.25
Yathecal82,3,$2.07,$6.22
Ilmol66,2,$3.08,$6.17
Chanirrala39,2,$3.08,$6.15
Bartassaya73,2,$3.06,$6.12
Ennrian78,2,$3.04,$6.08
Chadadarla74,2,$3.02,$6.03
Yathedeu43,2,$3.01,$6.02
Jiskimya77,2,$2.99,$5.98
Tyeosri53,2,$2.96,$5.92
Assistasda42,2,$2.96,$5.92
Hari50,2,$2.96,$5.91
Frichadaran88,2,$2.95,$5.89
Eodailis27,2,$2.88,$5.76
Anallorgue57,2,$2.85,$5.70
Lisim51,2,$2.83,$5.66
Sondim68,2,$2.83,$5.66
Aelollo59,2,$2.82,$5.63
Ardcil81,2,$2.79,$5.58
Iarilis73,2,$2.75,$5.49
Phaena87,3,$1.83,$5.49
Mindesi74,2,$2.74,$5.48
Undirrala66,2,$2.74,$5.47
Sida61,2,$2.71,$5.43
Lirtastsya71,2,$2.71,$5.43
Chanosia60,2,$2.71,$5.42
Aestysu37,2,$2.69,$5.38
Pheosurllorin41,2,$2.69,$5.38
Seosrim97,2,$2.68,$5.36
Chamirra53,2,$2.68,$5.36
Tyisur83,3,$1.79,$5.36
Yadaphos40,2,$2.68,$5.35
Undjaskla97,2,$2.66,$5.32
Marynde90,2,$2.66,$5.31
Maluncil97,2,$2.64,$5.28
Marilsa69,2,$2.62,$5.25
Eyrian71,2,$2.59,$5.19
Caesrinusuir82,2,$2.59,$5.18
Chanjaskan89,2,$2.58,$5.17
Ilirrasda54,2,$2.53,$5.06
Tyialisudeu65,2,$2.53,$5.05
Dyally87,1,$4.99,$4.99
Eusurdeu49,2,$2.47,$4.94
Chanirrasta87,1,$4.94,$4.94
Yarithsurgue62,1,$4.94,$4.94
Ririp86,1,$4.94,$4.94
Lirtilsa71,1,$4.94,$4.94
Iskichinya81,2,$2.47,$4.94
Mindossa76,1,$4.93,$4.93
Chadjask77,1,$4.93,$4.93
Aeda94,1,$4.91,$4.91
Aerithnuphos61,1,$4.91,$4.91
Filurarn35,1,$4.91,$4.91
Firan91,1,$4.91,$4.91
Assilsan72,1,$4.90,$4.90
Laedallo55,1,$4.90,$4.90
Meosridil82,1,$4.90,$4.90
Lisilsa62,1,$4.88,$4.88
Ennalmol65,1,$4.88,$4.88
Tyaelo67,1,$4.88,$4.88
Ithergue48,1,$4.88,$4.88
Poshilsa82,1,$4.86,$4.86
Irithlis29,1,$4.86,$4.86
Alaephos75,1,$4.84,$4.84
Chamimla73,1,$4.80,$4.80
Aeral97,1,$4.80,$4.80
Maropast28,1,$4.76,$4.76
Sundim98,1,$4.75,$4.75
Yastyriaphos75,1,$4.75,$4.75
Saena74,1,$4.74,$4.74
Undotesta33,1,$4.74,$4.74
Asur96,1,$4.74,$4.74
Marirrasta50,1,$4.66,$4.66
Lassassast73,1,$4.65,$4.65
Chamalo71,1,$4.64,$4.64
Filrion59,1,$4.64,$4.64
Iathenudil29,1,$4.60,$4.60
Risty84,1,$4.60,$4.60
Aidai53,1,$4.60,$4.60
Eratiel90,1,$4.60,$4.60
Ina92,1,$4.58,$4.58
Phiallylis33,1,$4.58,$4.58
Ilosian36,1,$4.58,$4.58
Ceoral34,1,$4.58,$4.58
Qilunan34,1,$4.58,$4.58
Yoishirrala98,1,$4.58,$4.58
Lirtossa60,2,$2.28,$4.56
Eurithphos97,2,$2.27,$4.55
Sondossa69,1,$4.48,$4.48
Farusrian86,1,$4.48,$4.48
Aiduesu86,1,$4.48,$4.48
Ealrion88,1,$4.48,$4.48
Yasur35,1,$4.48,$4.48
Adastirin33,1,$4.48,$4.48
Assastnya25,1,$4.48,$4.48
Heosurnuru52,2,$2.23,$4.46
Syally44,2,$2.23,$4.46
Frichjask31,1,$4.43,$4.43
Frichosia58,1,$4.43,$4.43
Saerallora71,1,$4.43,$4.43
Yarolwen77,1,$4.43,$4.43
Iskjaskst81,2,$2.21,$4.42
Yalostiphos68,1,$4.40,$4.40
Haerithp41,1,$4.40,$4.40
Chamiman85,1,$4.40,$4.40
Jiskadarst60,1,$4.40,$4.40
Tyaenasti87,1,$4.40,$4.40
Ealiril69,1,$4.40,$4.40
Haisurra41,1,$4.40,$4.40
Aeral43,1,$4.40,$4.40
Quaecjask96,1,$4.40,$4.40
Tyaelaelis94,1,$4.40,$4.40
Inasuir29,1,$4.40,$4.40
Taeduenu92,1,$4.40,$4.40
Sondim73,1,$4.40,$4.40
Aerithnucal56,1,$4.40,$4.40
Filrion83,1,$4.40,$4.40
Lirtimst73,2,$2.19,$4.38
Indcil77,1,$4.35,$4.35
Eoral49,1,$4.35,$4.35
Marassa62,1,$4.35,$4.35
Cosadar58,1,$4.35,$4.35
Eyircil84,1,$4.35,$4.35
Iskossasda43,1,$4.35,$4.35
Assistasda90,1,$4.35,$4.35
Ilaesudil92,1,$4.35,$4.35
Lisossala30,1,$4.35,$4.35
Marim28,2,$2.17,$4.33
Aela59,1,$4.32,$4.32
Chanossast57,1,$4.32,$4.32
Chanjask65,1,$4.32,$4.32
Sondimla25,1,$4.32,$4.32
Ali84,2,$2.15,$4.31
Lirtosia63,2,$2.15,$4.29
Chadilsasta32,2,$2.15,$4.29
Tyirinu79,1,$4.24,$4.24
Syalollorap93,1,$4.24,$4.24
Sidap51,1,$4.24,$4.24
Ilimya66,1,$4.23,$4.23
Rianistast50,1,$4.23,$4.23
Quilassa66,1,$4.23,$4.23
Quarrion42,1,$4.23,$4.23
Frichirranya75,1,$4.23,$4.23
Hyaduesu61,1,$4.23,$4.23
Salilis27,1,$4.23,$4.23
Aidaira26,1,$4.23,$4.23
Lisirra87,1,$4.23,$4.23
Mindista32,1,$4.23,$4.23
Jiskjask80,1,$4.19,$4.19
Lisico81,1,$4.19,$4.19
Hiaral50,3,$1.40,$4.19
Sisur91,1,$4.19,$4.19
Pheutherin27,1,$4.18,$4.18
Assylla81,1,$4.18,$4.18
Reulae52,1,$4.18,$4.18
Mindimnya67,1,$4.18,$4.18
Eulaestira36,2,$2.07,$4.14
Tyialisti80,1,$4.14,$4.14
Yarithrin84,1,$4.14,$4.14
Aeralria27,1,$4.09,$4.09
Yadaisuir65,1,$4.09,$4.09
Rilaera56,1,$4.08,$4.08
Isty55,1,$4.08,$4.08
Fironon91,1,$4.08,$4.08
Minduri31,1,$4.07,$4.07
Iasurriacal29,1,$4.07,$4.07
Tyeuduen32,1,$4.05,$4.05
Undare39,2,$2.02,$4.04
Sundjask71,1,$4.00,$4.00
Aeral68,1,$4.00,$4.00
Lisast98,1,$3.97,$3.97
Chanuchi25,1,$3.97,$3.97
Phaestycal84,2,$1.99,$3.97
Eodaisu60,1,$3.94,$3.94
Chadistaya75,1,$3.94,$3.94
Frichaya88,1,$3.93,$3.93
Chamadarsda63,1,$3.92,$3.92
Aesty53,2,$1.96,$3.91
Chadjask85,1,$3.87,$3.87
Eulae84,1,$3.87,$3.87
Mindirranya33,1,$3.87,$3.87
Phaedue89,1,$3.85,$3.85
Lisista54,2,$1.92,$3.83
Pheusrical25,1,$3.82,$3.82
Iduenu77,1,$3.82,$3.82
Phaedasurap84,1,$3.82,$3.82
Sondassasya91,1,$3.81,$3.81
Hailaphos89,1,$3.81,$3.81
Haeladil46,1,$3.81,$3.81
Irillo49,1,$3.79,$3.79
Lalossa38,1,$3.77,$3.77
Haellysu29,1,$3.77,$3.77
Undosia27,1,$3.77,$3.77
Mindadaran26,1,$3.75,$3.75
Yarithllodeu72,1,$3.75,$3.75
Frichim77,2,$1.88,$3.75
Firatan58,1,$3.75,$3.75
Aellynun67,1,$3.74,$3.74
Chanastsda67,1,$3.70,$3.70
Nitherian58,2,$1.84,$3.69
Tyeurith29,1,$3.65,$3.65
Yalo85,1,$3.65,$3.65
Lisosia66,1,$3.65,$3.65
Raysistast71,1,$3.65,$3.65
Iljask75,1,$3.61,$3.61
Hilaerin92,1,$3.61,$3.61
Chamistast30,1,$3.58,$3.58
Tyeudariasuir90,1,$3.58,$3.58
Chanastya70,1,$3.58,$3.58
Yana46,1,$3.55,$3.55
Frichosiala98,1,$3.54,$3.54
Aethedru70,1,$3.54,$3.54
Ilunyon70,1,$3.54,$3.54
Tyaedainu44,1,$3.54,$3.54
Lassassasda30,1,$3.54,$3.54
Marokian45,1,$3.53,$3.53
Marast30,1,$3.53,$3.53
Firon67,1,$3.53,$3.53
Aisurdru79,2,$1.75,$3.51
Errian63,1,$3.49,$3.49
Quanunwen42,1,$3.49,$3.49
Lisasi93,2,$1.74,$3.48
Heudai45,1,$3.47,$3.47
Ryanara76,1,$3.47,$3.47
Heollyriap59,1,$3.47,$3.47
Lisista27,1,$3.47,$3.47
Undimsya85,1,$3.46,$3.46
Yathecal72,1,$3.46,$3.46
Iskim66,1,$3.46,$3.46
Aidain51,1,$3.45,$3.45
Sondistanya61,1,$3.45,$3.45
Alaesu91,1,$3.45,$3.45
Airi27,1,$3.45,$3.45
Yarithrgue83,1,$3.45,$3.45
Rairin89,1,$3.45,$3.45
Undista85,1,$3.45,$3.45
Lassirrasda85,1,$3.44,$3.44
Peorith44,1,$3.44,$3.44
Lisossanya98,1,$3.44,$3.44
Yasrisu92,1,$3.44,$3.44
Seolollo93,1,$3.41,$3.41
Saena89,1,$3.41,$3.41
Eodairu79,1,$3.40,$3.40
Palyon91,1,$3.39,$3.39
Isursuir31,1,$3.39,$3.39
Rithe53,1,$3.39,$3.39
Jiskirran77,1,$3.39,$3.39
Assassa81,1,$3.39,$3.39
Lisjaskan36,1,$3.36,$3.36
Aerillorin70,1,$3.33,$3.33
Quaranmol58,1,$3.33,$3.33
Iasur80,2,$1.66,$3.32
Indonmol95,1,$3.30,$3.30
Eusri26,1,$3.27,$3.27
Tyananurgue44,1,$3.27,$3.27
Chamassasya86,1,$3.27,$3.27
Pheulidil31,1,$3.27,$3.27
Lirtassan78,1,$3.27,$3.27
Raisty38,1,$3.27,$3.27
Alarap40,1,$3.27,$3.27
Tyaelistidru84,1,$3.26,$3.26
Lirtossa84,2,$1.62,$3.24
Iaralrgue74,2,$1.61,$3.23
Assirra56,1,$3.19,$3.19
Iathem87,1,$3.19,$3.19
Chanadar44,1,$3.19,$3.19
Chadossa89,1,$3.19,$3.19
Ialidru40,1,$3.16,$3.16
Mindetosya30,1,$3.16,$3.16
Chanista95,1,$3.16,$3.16
Jiskossa61,1,$3.16,$3.16
Idaisuir85,1,$3.15,$3.15
Sondilsaya62,1,$3.14,$3.14
Chamadar79,1,$3.14,$3.14
Lirtirra37,1,$3.14,$3.14
Lisossa25,2,$1.56,$3.12
Iana95,1,$3.10,$3.10
Ethriel85,1,$3.10,$3.10
Asty82,1,$3.09,$3.09
Eusri44,1,$3.09,$3.09
Haedairiadru51,1,$3.09,$3.09
Aina43,1,$3.09,$3.09
Farrian71,1,$3.08,$3.08
Aidai73,1,$3.08,$3.08
Frichossala54,1,$3.08,$3.08
Eosrirgue62,1,$3.08,$3.08
Aellyria80,1,$3.08,$3.08
Maridisya31,1,$3.08,$3.08
Shaidanu32,1,$3.08,$3.08
Hisridru55,1,$3.08,$3.08
Quanrion96,1,$3.08,$3.08
Iskosian40,1,$3.07,$3.07
Chamadarnya73,1,$3.07,$3.07
Heollyra92,1,$3.07,$3.07
Chamirrasya33,2,$1.52,$3.05
Yaliru88,1,$3.03,$3.03
Marilsanya48,1,$3.03,$3.03
Iskirra45,1,$3.03,$3.03
Qilanrion65,1,$3.03,$3.03
Aenarap34,1,$2.96,$2.96
Tyalaesu89,1,$2.96,$2.96
Aeralstical35,1,$2.96,$2.96
Chanosia34,1,$2.96,$2.96
Lisirra58,1,$2.96,$2.96
Assjaskan56,1,$2.96,$2.96
Tyeoralru41,1,$2.94,$2.94
Lisassasda39,1,$2.94,$2.94
Lisassala98,1,$2.92,$2.92
Aillyrin83,1,$2.89,$2.89
Undirra73,1,$2.89,$2.89
Lisassa64,1,$2.89,$2.89
Inasti31,2,$1.45,$2.89
Lisjaskya84,1,$2.89,$2.89
Eudanu32,1,$2.85,$2.85
Thrientossa55,1,$2.85,$2.85
Eustyria89,1,$2.85,$2.85
Ililsan66,1,$2.85,$2.85
Sundadarla27,1,$2.85,$2.85
Chamjaskya75,1,$2.84,$2.84
Ilosianya35,1,$2.84,$2.84
Wailin72,1,$2.73,$2.73
Maradaran90,1,$2.73,$2.73
Hirirap39,2,$1.35,$2.71
Marilsasya33,2,$1.35,$2.70
Eulasuir89,1,$2.67,$2.67
Eulolis41,1,$2.67,$2.67
Frichadar89,1,$2.67,$2.67
Mindjasksya61,1,$2.60,$2.60
Sondassan80,1,$2.60,$2.60
Lisirra25,1,$2.52,$2.52
Chanilsasda38,1,$2.52,$2.52
Hiarideu73,1,$2.50,$2.50
Alim85,1,$2.50,$2.50
Lisossa46,1,$2.50,$2.50
Lassjaskan73,1,$2.50,$2.50
Ermol76,1,$2.50,$2.50
Tyidainu31,1,$2.49,$2.49
Alaesu77,1,$2.49,$2.49
Ethron58,1,$2.49,$2.49
Lirtastan49,1,$2.48,$2.48
Yadam35,1,$2.48,$2.48
Siralsudeu54,2,$1.23,$2.45
Sundassa93,1,$2.45,$2.45
Syathecal44,1,$2.42,$2.42
Malon70,1,$2.38,$2.38
Yadanu52,1,$2.38,$2.38
Mindilsa34,1,$2.37,$2.37
Maradarnya40,1,$2.37,$2.37
Palatyon26,1,$2.37,$2.37
Adairialis76,1,$2.28,$2.28
Quanenrian83,1,$2.27,$2.27
Rastynusuir31,1,$2.27,$2.27
Liawista80,1,$2.27,$2.27
Lisiriya82,1,$2.27,$2.27
Jiskjask60,1,$2.22,$2.22
Ilassa51,1,$2.22,$2.22
Ethralista69,1,$2.22,$2.22
Rairith81,1,$2.22,$2.22
Chamirraya83,1,$2.22,$2.22
Aesur96,1,$2.21,$2.21
Ili43,1,$2.18,$2.18
Sastydeu50,1,$2.18,$2.18
Itheria73,1,$2.18,$2.18
Aerithriaphos46,1,$2.18,$2.18
Malil90,1,$2.18,$2.18
Marughi89,1,$2.18,$2.18
Eurisuru25,1,$2.18,$2.18
Chanilsast61,1,$2.08,$2.08
Irith83,1,$2.07,$2.07
Idacal95,1,$2.07,$2.07
Tyaelly53,1,$2.07,$2.07
Hariphos58,1,$2.05,$2.05
Chamastya76,1,$2.05,$2.05
Seuthep89,1,$2.05,$2.05
Frichast28,1,$2.05,$2.05
Thryallym62,1,$2.05,$2.05
Jeyciman68,1,$2.05,$2.05
Chadirra90,1,$2.05,$2.05
Chamast86,1,$2.05,$2.05
Ilast79,1,$2.05,$2.05
Ethrasyon38,1,$2.04,$2.04
Lisadar44,1,$1.98,$1.98
Hiral75,1,$1.98,$1.98
Chadossa56,1,$1.98,$1.98
Haestyphos66,1,$1.97,$1.97
Raillydeu47,1,$1.97,$1.97
Chanosiaya39,1,$1.97,$1.97
Ilastilis78,1,$1.97,$1.97
Siana77,1,$1.97,$1.97
Lassjask63,1,$1.94,$1.94
Undirrasta89,1,$1.94,$1.94
Lisassasta50,1,$1.94,$1.94
Lisotesta51,1,$1.94,$1.94
Jiskassa76,1,$1.87,$1.87
Ristydru66,1,$1.87,$1.87
Aisurria69,1,$1.79,$1.79
Frichaststa61,1,$1.79,$1.79
Aelaria33,1,$1.79,$1.79
Eosurdru76,1,$1.79,$1.79
Undilsan50,1,$1.79,$1.79
Eulanurin88,1,$1.79,$1.79
Phiristi62,1,$1.79,$1.79
Indirrian56,1,$1.77,$1.77
Sundista37,1,$1.77,$1.77
Chamossa77,1,$1.77,$1.77
Qilatista90,1,$1.76,$1.76
Aesri53,1,$1.76,$1.76
Undassa89,1,$1.76,$1.76
Saisrilis27,1,$1.75,$1.75
Iarallo65,1,$1.75,$1.75
Assehoan67,1,$1.75,$1.75
Sondadarya58,1,$1.75,$1.75
Marundi65,1,$1.75,$1.75
Ennoncil86,1,$1.74,$1.74
Lisista63,1,$1.74,$1.74
Tyaerith73,1,$1.71,$1.71
Iadueria43,1,$1.71,$1.71
Assim27,1,$1.70,$1.70
Arirgue63,1,$1.70,$1.70
Assjaskan73,1,$1.70,$1.70
Eoralrap26,1,$1.70,$1.70
Layjask75,1,$1.70,$1.70
Haerith37,1,$1.66,$1.66
Hallysucal81,1,$1.66,$1.66
Iasursti71,1,$1.66,$1.66
Styaduen40,1,$1.66,$1.66
Ilassast39,1,$1.63,$1.63
Frichynde86,1,$1.63,$1.63
Phistyn52,1,$1.63,$1.63
Aeri84,1,$1.61,$1.61
Hiasurria41,1,$1.61,$1.61
Eusur90,1,$1.60,$1.60
Ingatcil75,1,$1.56,$1.56
Pheodai94,1,$1.56,$1.56
Lirtirra81,1,$1.56,$1.56
Aerithriaphos45,1,$1.56,$1.56
Lisovynya38,1,$1.56,$1.56
Ardonmol96,1,$1.55,$1.55
Isursti83,1,$1.54,$1.54
Heunadil74,1,$1.54,$1.54
Assesi91,1,$1.54,$1.54
Chanirra64,1,$1.54,$1.54
Qarirwen82,1,$1.54,$1.54
Eolan54,1,$1.54,$1.54
Phiarithdeu40,1,$1.48,$1.48
Minduli80,1,$1.44,$1.44
Iskosia90,1,$1.44,$1.44
Thourdirra92,1,$1.44,$1.44
Marjask87,1,$1.44,$1.44
Frichilsa31,1,$1.44,$1.44
Malarrian73,1,$1.40,$1.40
Syathe73,1,$1.40,$1.40
Jiskjask85,1,$1.33,$1.33
Assosia88,1,$1.33,$1.33
Iskim96,1,$1.33,$1.33
Sally64,1,$1.33,$1.33
Lirtim36,1,$1.33,$1.33
Shidai42,1,$1.33,$1.33
Philodil43,1,$1.29,$1.29
Eyista89,1,$1.29,$1.29
Mindilsa60,1,$1.28,$1.28
Tyarithn67,1,$1.14,$1.14
Aisur51,1,$1.14,$1.14
Ilista82,1,$1.14,$1.14
Jiskimsda56,1,$1.14,$1.14
Aillyriadru65,1,$1.10,$1.10
Eryon48,1,$1.10,$1.10
Iduelis31,1,$1.10,$1.10
Yasur85,1,$1.10,$1.10
Undjask33,1,$1.10,$1.10
Lirtassa52,1,$1.09,$1.09
Aelidru27,1,$1.09,$1.09
Yalaeria91,1,$1.06,$1.06
Aesurstilis64,1,$1.03,$1.03
Saida58,1,$1.03,$1.03
Euthe35,1,$1.03,$1.03
Hala31,1,$1.02,$1.02
Qilalista41,1,$1.02,$1.02
Frichjaskan98,1,$1.02,$1.02
Isurria36,1,$1.02,$1.02
Eudanu84,1,$1.02,$1.02
Ililsasya43,1,$1.02,$1.02
Irilis75,1,$1.02,$1.02
Aidai61,1,$1.01,$1.01
Chanirra79,1,$1.01,$1.01
Alo38,1,$1.00,$1.00
